cite	journal	year	times_cited	abstract	author_count	authors
Swan, Elaine. 2010. 'States of White Ignorance, and Audit Masculinity in English Higher Education.' Social Politics. 17:4, SI 477-506.	Social Politics	2010	1	Drawing upon recent literature on what has been called ``epistemologies of ignorance'' in relation to race, this paper examines an audit of a research project on equality and diversity in a UK university. It argues the audit functioned as a technology of ignorance. This paper suggests that the audit drew upon the cultural associations between white male academic masculinity with notions of quantification, detachment, and disembodied aggression. In this way, ignorance is seen as a form of labor. In particular, this paper suggests that current forms of neoliberal audit in UK universities could be understood in terms of Haraway's notion of scientific gentlemanly modest witnessing. But rather than the scientific gentlemanly masculinity, neoliberal audit legitimates a hyper-rational audit masculinity which casts women and racialized minorities as subjective, interested, and emotional and in so doing performs epistemic violence which maintains whiteness.	1	Elaine Swan
Leonard, Pauline. 2010. 'Old Colonial or New Cosmopolitan? Changing White Identities in the Hong Kong Police.' Social Politics. 17:4, SI 507-535.	Social Politics	2010	0	This paper explores the construction of whiteness, masculinity, and expatriate citizenship in the changing landscape of postcolonial Hong Kong. The context of the Hong Kong Police Force and the career of a long-serving senior British officer are used to examine changes in the meanings of whiteness in the new national and organizational contexts which have followed the handover of the Region from the British to the Chinese in 1997. Analysis reveals the place the organization may play in the construction of white identities and privileges and how, in the intersection of organizational practices and policies with personal biography, whiteness may serve to resist broader initiatives for integration. Although in their global mobility white skilled migrants may suggest performances of new cosmopolitan forms of citizenship, this paper argues that shifts towards a postidentity politics of cultural hybridity and integration can seem slow to appear in transnational expatriate contexts.	1	Pauline Leonard
O'Connell, Anne. 2010. 'an Exploration of Redneck Whiteness in Multicultural Canada.' Social Politics. 17:4, SI 536-563.	Social Politics	2010	2	As Canada celebrates forty years of official multiculturalism (1971), a shifting urban/rural dyad (Neal) is central to its configuration. Its urban centers are positioned as diverse racialized spaces unlike their less diverse and more white rural counterparts. In this paper, I explore the relationships between rurality, whiteness, and multiculturalism through the rise of the redneck in North America and the Canadian Redneck Games in rural Ontario. While seemingly politically incorrect, I argue that these expressions of rural whiteness provide both critique and coherence to liberal whiteness and multicultural policies. Celebrations of rural whiteness uphold the frontier narratives (Furniss), the past which helps structure multiculturalism as a contemporary form of white liberal tolerance of and benevolence toward Indigenous peoples and racialized others. These mutually sustaining narratives constitute a contemporary politics which is unable to address past colonial crimes and contemporary racial violence.	1	Anne O'Connell
Lively, Kathryn, Lala Steelman & Brian Powell. 2010. 'Equity, Emotion, and Household Division of Labor Response.' Social Psychology Quarterly. 73:4 358-379.	Social Psychology Quarterly	2010	3	Building upon insights generated by social psychological scholarship on equity, emotions, and identity, we use the General Social Survey (1996) Modules on Emotion and Gender and the National Survey of Family and Households (1992-1994) to investigate the relationship between perceived inequity in the household division of labor and emotion. These surveys enable us to assess the degree to which patterns identified in short-term laboratory studies of relative strangers are generalizable to enduring relationships among intimates. We move beyond existing studies that link inequity in the home with depression by incorporating a broader scope of emotions and further by distinguishing between underbenefiting and overbenefiting-i.e., doing what one considers more or less than one's fair share-and by examining these processes for women and men. We find general support for principles of equity theory: That is, emotions are closely tied to perceived inequity in the division of household labor. Guided by insights from Kemper's structural interactional theory of emotion and affect control theory, we show that this pattern differs by specific emotions, the direction of the inequity, and the sex of the perceiver. Implications for understanding emotion, equity theory, and family are then elaborated.	3	Kathryn J. Lively; Lala Carr Steelman; Brian Powell
Baker, Joseph. 2010. 'Social Sources of the Spirit: Connecting Rational Choice and Interactive Ritual Theories in the Study of Religion.' Sociology of Religion. 71:4 432-456.	Sociology of Religion	2010	3	In recent years rational choice approaches have increasingly been employed in the sociological study of religion; however, theory and research from this perspective typically overlook the role of emotionally efficacious collective rituals. This study synthesizes interactive ritual theory with the rational choice concept of strictness, which highlights the level of behavioral prohibitions religious groups place on adherents. Analyses of data from the first wave of the National Congregations Study indicate a positive relationship between a group's level of behavioral strictness and the production of an enthusiastic, outwardly emotive worship style. In general, the effort is made to highlight the utility of combining a focus on the production of collective, social ``goods'' in religious groups with considerations of interactive rituals and emotion.	1	Joseph O. Baker
Frank, David, Bayliss Camp & Steven Boutcher. 2010. 'Worldwide Trends in the Criminal Regulation of Sex, 1945 to 2005.' American Sociological Review. 75:6 867-893.	American Sociological Review	2010	12	Between 1945 and 2005, nation-states around the world revised their criminal laws on sexual activities. This global reform wave-across countries and domains of sexual activity-followed from the reconstitution of world models of society around individuals rather than corporate bodies. During the post-World War II period, this process rearranged the global cultural and organizational underpinnings of sex, eroding world-level support for criminal laws aimed at protecting collective entities-especially the family and the nation-and strengthening world support for laws aimed at protecting individualized persons. To make our case, we use unique cross-national and longitudinal data on the criminal regulation of rape, adultery, sodomy, and child sexual abuse. The data reveal striking counter-directional trends in sex-law reforms, which simultaneously elaborated regulations protecting individuals and dissolved laws protecting collective entities. World-level negative-binomial regression analyses and country-level event-history analyses confirm our main propositions. The findings demonstrate a sweeping revolution in criminal-sex laws, rooted in the intensified global celebration of free-standing personhood.	3	David John Frank; Bayliss J. Camp; Steven A. Boutcher
Tanaka, Keiko & Patrick Mooney. 2010. 'Public Scholarship and Community Engagement in Building Community Food Security: the Case of the University of Kentucky.' Rural Sociology. 75:4 560-583.	Rural Sociology	2010	1	P>The current call for public scholarship and community engagement by universities and disciplinary organizations has created opportunities to develop innovative ways to integrate research, instruction, and outreach. This article discusses a collaboration among scholars at the University of Kentucky and alternative agrifood movement organizations that has evolved as they pursue an alternative agrifood system in Kentucky. This collaboration made instructional programs in sociology and the honors world food issues track places in which both students and instructors can examine ``problems'' of the conventional agrifood system, conduct research, and develop collaborative relationships with community activists. We draw on Burawoy's discussion of public sociology and its interface with professional, critical, and policy sociologies. Supplementing our discussion with literature from social movements and science studies, we demonstrate how this integrated approach can render sociological knowledge and skills useful as critical support of alternative agrifood movements. We argue that the ``experiential classroom'' is an excellent site for the critical examination within the agrifood movements of oppositional culture. This, in turn, makes possible students' recognition of injustice in the existing agrifood system.	2	Keiko Tanaka; Patrick H. Mooney
Winson, Anthony. 2010. 'the Demand for Healthy Eating: Supporting a Transformative Food ``movement''.' Rural Sociology. 75:4 584-600.	Rural Sociology	2010	2	P>To the extent that social science scholarship engages real-world developments it remains grounded and better able to resist elite agendas. With this in mind this article argues for the critical encounter with what I argue is the most significant struggle around food and agriculture today-the amorphous and broad-based movement that strives to resist the further degradation of food environments and ensure healthy eating in society. This struggle is inevitably engaged with contemporary neoliberal agendas that have transformed and degraded food environments as they have privileged profit making over healthy diets. The article considers different sites where the struggle over healthy eating is taking place, both at the level of the state and more extensively in civil society. It considers the debate over bovine growth hormone in Canada and the wider efforts to turn around school food environments as examples of state-centered and civil-society struggles, respectively, that illustrate different dimensions of the healthy-eating movement today. In each case the agendas of transnational food corporations are seen to be directly contradicting efforts to ensure healthy diets. The article considers some notable successes among advocates of healthy eating, in the United States and Canada and most notably in Britain, and examines some of the factors that may account for this success. Overall, I argue that this struggle has the potential to challenge the hegemony of neoliberal discourse in fundamental ways. The article concludes with a call for academics, and rural sociologists in particular, to give a much greater priority to healthy-eating struggles, and considers a number of areas where academic practitioners can aid activists' efforts to resist the further degradation of diets and establish healthier food environments.	1	Anthony Winson
Santoro, Marco. 2010. 'Constructing an Artistic Field as a Political Project: Lessons From La Scala.' Poetics. 38:6, SI 534-554.	Poetics	2010	5	This article revisits the ``high culture model'' of Paul DiMaggio by taking as its empirical reference the experience of opera in Italy particularly the history of one of the foremost institutions of the operatic world, the theater La Scala, from the late 1700s through the early 1900s. Five aspects are discussed as relevant for an understanding of opera in Italy: the imprinting effect of the court system, the heritage of the Risorgimento (i.e., the historical period in which national unity was gained in the 1800s), the ascension of the middle classes and the making of a working class, the role of professionals acting as cultural entrepreneurs with international links and careers (especially that of Arturo Toscanini), and the influence of mass political parties and regimes. By arguing that the construction of an institutional field of opera should be framed also as a project of extension of political control over civil society promoted by parties (Socialists) and regimes (Fascism), this articles sheds new comparative light on classification in art while also contributing a sociological explanation for the apparently ambivalent status of opera (in Italy and possibly elsewhere) as a genre that is both highbrow and popular.	1	Marco Santoro
Godart, Frederic & Harrison White. 2010. 'Switchings Under Uncertainty: the Coming and Becoming of Meanings.' Poetics. 38:6, SI 567-586.	Poetics	2010	5	While structure and culture often are proclaimed dual and yet autonomous, this paper spells out a processual approach in which structure and culture are seen as intertwined and interdependent formations. To that end, we aim at understanding how meanings come to be, then build into process, and become integrated in a set of constructs of differing scopes, scales, and levels collectively known as ``culture.'' Meanings are ``sparks'' generated by irregular switchings across socio-cultural compounds called ``netdoms,'' mixtures of social networks and semiotic domains. Switchings originate from identities mitigating uncertainty from biophysical sources and from attempts at control by other identities. A ``story'' concatenates meanings in a relational structure within a horizon of possibilities. Netdoms constitute the fabric of socio-cultural life, wherein domains-through stories-provide the interpretive texture, while networks-through relations-supply the social texture. Socio-cultural formations invoking more complex compounds of stories (story-lines and plots) thereby frame social time, enabling, through narratives, mobilization for social action. We further model a level of syncopated complexity, denoted ``style,'' which illuminates the puzzle of how culture and structure fit together. (Earlier versions of this article were presented at the Seminar Series in Social Network Analysis in Manchester. UK on January 15th, 2008, at the Harvard Business School on March 17, 2008, and at the American Sociological Association Annual Meeting in San Francisco on August 8, 2009.)	2	Frederic C. Godart; Harrison C. White
Fontdevila, Jorge. 2010. 'Indexes, Power, and Netdoms: a Multidimensional Model of Language in Social Action.' Poetics. 38:6, SI 587-609.	Poetics	2010	0	Across a wide range of scholarship on language, tensions emerge about the relationship between grammar and practice. I explore these tensions and argue that they can be expressed along three analytical dimensions: semiotic, power, and relational. The semiotic dimension shows that language communicates not only symbolic-referential content but primarily the nature of the speech event as a socio-cultural phenomenon in its own right. Thus meaning-and cultural semiosis in general-is mostly about reflexive indexicality. The power dimension points to language as an ambiguous game embedded in conflict and seldom about building consensus. The relational dimension captures whether language stems from the face-to-face or from social network traces of broader interactional times and spaces. I conclude with a multidimensional model of communicative action, and assert that these tensions symbolic versus indexical, consensus versus conflict, face-to-face versus network-arise from uncritically conflating the empirical with the analytical. My goal is to contribute to broader metatheoretical debates on the linkages between structure and agency in social action.	1	Jorge Fontdevila
Krinsky, John. 2010. 'Dynamics of Hegemony: Mapping Mechanisms of Cultural and Political Power in the Debates Over Workfare in New York City, 1993-1999.' Poetics. 38:6, SI 625-648.	Poetics	2010	2	This article analyzes debates over workfare in New York City in the 1990s in order to shed light on three related questions with respect to policy debates in general. How should we understand the creation of meaning in policy debates? How should we understand the different power that actors and their claims may have in shaping the boundaries and terms of these debates, and how is this power related to the question of meaning? And finally, if we are to understand policy debates as changeable, how do we account for changes in the power of actors and claims within them, and in the meanings that they enable? In order to focus on the interactions among multiple actors, claims, and institutional settings I turn to structural analysis of culture and the network-analytic techniques associated with it. By breaking down more than ten years of claim-making into eight periods and by coding actors, their claims, and the contexts in which they make them. I look at how actors, claims, and settings combine to produce variously contested and settled meanings of political claims, and at changes in the power actors and claims have in setting the terms of political debate as a whole.	1	John Krinsky
Kaplan, Elaine. 2010. 'Doing Care on the Run: Family Strategies in the Contested Terrain of Gender and Institutional Intransigence.' Journal of Contemporary Ethnography. 39:6 587-618.	Journal of Contemporary Ethnography	2010	1	This study draws on the literature on care and on parents' perceptions of their teenagers' needs and on their own abilities and their spouses' ability to perform the necessary caring tasks. Ethnographic interviews with 30 working parents revealed three specific caring strategies-the scheduling parent, the worry-shift parent, and the parent of last resort-all designed to maintain a sense of control over their teenagers. Rather than produce strategies that are based on negotiations with family members, parents in this study tended to develop their own individual strategies when confronted with a set of problems in caring for young teenagers, principle among these is the contested nature of teenagers' need for care-contested by the educational institution, by employers, by spouses, and teenagers themselves. The study concludes by suggesting that these parents' strategies lead to unequal divisions of emotional care that are shaped by gender and institutional	1	Elaine Bell Kaplan
Hochschild, Thomas. 2010. '``our Club'': Place-work and the Negotiation of Collective Belongingness.' Journal of Contemporary Ethnography. 39:6 619-645.	Journal of Contemporary Ethnography	2010	1	This research examines the process by which vying social groups negotiate collective belongingness within contested space. At an American Legion veterans' post, two factions-the Skeet Club and the New Regime-developed strong emotional attachments to the location. The Skeet Club consisted of ineligible townspeople who had illegally gained access to the post through the help of several legitimate members. For Skeet Club members, the post was a beloved social club where strong social bonds had developed over the course of many years. For the New Regime, the post was first and foremost a shrine to honor and assist military veterans. These divergent interpretations resulted in a process the author calls place-work, whereby members of the two factions struggled to establish a definition of the location that would allow their respective groups to feel that ``we belong.'' The four place-work strategies observed include (1) the presentation of group value, (2) deference to organizational culture, (3) spatial control, and (4) out-group intimidation. Through these strategies, ``collective belongingness'' was constructed, presented, and maintained as a resource in intergroup conflict. This study builds on the literatures regarding place, emotion, and intergroup conflict.	1	Thomas R. Hochschild
Leverentz, Andrea. 2010. 'People, Places, and Things: How Female Ex-prisoners Negotiate Their Neighborhood Context.' Journal of Contemporary Ethnography. 39:6 646-681.	Journal of Contemporary Ethnography	2010	4	While many prisoners share the public and policy makers' concerns about returning to their former neighborhood when they are released from prison, recently released ex-prisoners often do not have the resources to move to a new neighborhood. Using multiple in-depth interviews with female ex-prisoners in Chicago, the author addresses how these women frame their often disadvantaged and racially segregated neighborhood contexts so that they are consistent with their desire to desist from offending. While some women believed they should avoid old neighborhoods, many reframed their neighborhood context as a neutral or positive force, both for them and the community. Three common frames emerged in the data, all of which emphasize the women's self-efficacy and agency: drugs are unavoidable and so neighborhood is irrelevant, there is comfort in familiarity, and their pasts can be used to help and inspire others in their community. In addition, the author addresses the ways in which these frames are influenced by their involvement in drug treatment programming and by race, class, and gender. These findings suggest a need to expand how research and policy address the neighborhood context of prisoner reentry.	1	Andrea Leverentz
Shwed, Uri & Peter Bearman. 2010. 'the Temporal Structure of Scientific Consensus Formation.' American Sociological Review. 75:6 817-840.	American Sociological Review	2010	12	This article engages with problems that are usually opaque: What trajectories do scientific debates assume, when does a scientific community consider a proposition to be a fact, and how can we know that? We develop a strategy for evaluating the state of scientific contestation on issues. The analysis builds from Latour's black box imagery, which we observe in scientific citation networks. We show that as consensus forms, the importance of internal divisions to the overall network structure declines. We consider substantive cases that are now considered facts, such as the carcinogenicity of smoking and the non-carcinogenicity of coffee. We then employ the same analysis to currently contested cases: the suspected carcinogenicity of cellular phones, and the relationship between vaccines and autism. Extracting meaning from the internal structure of scientific knowledge carves a niche for renewed sociological commentary on science, revealing a typology of trajectories that scientific propositions may experience en route to consensus.	2	Uri Shwed; Peter S. Bearman
Andrews, Kenneth & Neal Caren. 2010. 'Making the News: Movement Organizations, Media Attention, and the Public Agenda.' American Sociological Review. 75:6 841-866.	American Sociological Review	2010	15	Increasingly, scholars have come to see the news media as playing a pivotal role in shaping whether social movements are able to bring about broader social change. By drawing attention to movements' issues, claims, and supporters, the news media can shape the public agenda by influencing public opinion, authorities, and elites. Why are some social movement organizations more successful than others at gaining media coverage? Specifically, what organizational, tactical, and issue characteristics enhance media attention? We combine detailed organizational survey data from a representative sample of 187 local environmental organizations in North Carolina with complete news coverage of those organizations in 11 major daily newspapers in the two years following the survey (2,095 articles). Our analyses reveal that local news media favor professional and formalized groups that employ routine advocacy tactics, mobilize large numbers of people, and work on issues that overlap with newspapers' focus on local economic growth and well-being. Groups that are confrontational, volunteer-led, or advocate on behalf of novel issues do not garner as much attention in local media outlets. These findings have important implications and challenge widely held claims about the pathways by which movement actors shape the public agenda through the news media.	2	Kenneth T. Andrews; Neal Caren
Turco, Catherine. 2010. 'Cultural Foundations of Tokenism: Evidence From the Leveraged Buyout Industry.' American Sociological Review. 75:6 894-913.	American Sociological Review	2010	11	Existing explanations of tokenism predict similar experiences for all numerically small, low-status groups. These explanations, however, cannot account for variation in the experiences of different low-status minority groups within the same setting. This article develops a theory of tokenism that explains such variation. Drawing on 117 interviews in the leveraged buyout industry (LBO) and a comparison of the differing experiences of female and African American male tokens in that setting, I argue that tokenism is contingent on the local cultural context in which it is embedded. Specifically, I identify two elements of an occupation's culture-its hierarchy of cultural resources and its image of the ideal worker-that can specify some status characteristics as more relevant to and incompatible with the occupation's work than others. In LBO, the industry values cultural resources that, on average, women lack but men possess, and the ideal worker is defined such that it directly conflicts with cultural beliefs about motherhood. Consequently, in this context, gender is a more relevant status characteristic for exclusion than is race, and female tokens are differentially disadvantaged. In addition to revising received wisdom about tokenism, this study integrates and advances social psychological and cultural theories of exclusion by deepening our understanding of the role of cultural resources and schemas in occupational inequality.	1	Catherine J. Turco
Lim, Chaeyoon & Robert Putnam. 2010. 'Religion, Social Networks, and Life Satisfaction.' American Sociological Review. 75:6 914-933.	American Sociological Review	2010	38	Although the positive association between religiosity and life satisfaction is well documented, much theoretical and empirical controversy surrounds the question of how religion actually shapes life satisfaction. Using a new panel dataset, this study offers strong evidence for social and participatory mechanisms shaping religion's impact on life satisfaction. Our findings suggest that religious people are more satisfied with their lives because they regularly attend religious services and build social networks in their congregations. The effect of within-congregation friendship is contingent, however, on the presence of a strong religious identity. We find little evidence that other private or subjective aspects of religiosity affect life satisfaction independent of attendance and congregational friendship.	2	Chaeyoon Lim; Robert D. Putnam
Kim, ChangHwan & Arthur Sakamoto. 2010. 'Have Asian American Men Achieved Labor Market Parity With White Men?.' American Sociological Review. 75:6 934-957.	American Sociological Review	2010	6	We use the 2003 National Survey of College Graduates to investigate earnings differentials between white and Asian American men. We extend prior literature by disaggregating Asian Americans by their immigration status in relation to the U.S. educational system, and by accounting for the effects of field of study and college type. Net of the latter variables and other demographic controls, native-born Asian American men have 8 percent lower earnings than do measurably comparable white men. Our findings show that Asian American men who were schooled entirely overseas have substantial earnings disadvantages, while Asian American men who obtained their highest degree in the United States but completed high school overseas have an intermediate earnings disadvantage. Net of the control variables, including region of residence, only 1.5-generation Asian American men appear to have reached full parity with whites. Most Asian American men lag at least slightly behind white men in terms of full equality in the labor market net of the measured covariates in our statistical models. No one theoretical approach seems able to explain our findings; instead, we suggest the relevance of several perspectives, including the racialized hierarchy view, the demographic heterogeneity approach, and assimilation theory.	2	ChangHwan Kim; Arthur Sakamoto
Zimmerman, Gregory & Steven Messner. 2010. 'Neighborhood Context and the Gender Gap in Adolescent Violent Crime.' American Sociological Review. 75:6 958-980.	American Sociological Review	2010	11	Research consistently demonstrates that females engage in less criminal behavior than males across the life course, but research on the variability of the gender gap across contexts is sparse. To address this issue, we examine the gender gap in self-reported violent crime among adolescents across neighborhoods. Multilevel models using data from the Project of Human Development in Chicago Neighborhoods (PHDCN) indicate that the gender gap in violent crime decreases as levels of neighborhood disadvantage increase. Furthermore, the narrowing of the gender gap is explained by gender differences in peer influence on violent offending. Neighborhood disadvantage increases exposure to peer violence for both sexes, but peer violence has a stronger impact on violent offending for females than for males; this produces the reduction in the gender gap at higher levels of disadvantage. We also find that the gender difference in the relationship between peer violence and offending is explained, in part, by (1) the tendency for females to have more intimate friendships than do males and (2) the moderating effect of peer intimacy on the relationship between peer violence and self-reported violent behavior.	2	Gregory M. Zimmerman; Steven F. Messner
Shlay, Anne & Gillad Rosen. 2010. 'Making Place: the Shifting Green Line and the Development of ``greater'' Metropolitan Jerusalem.' City \& Community. 9:4 358-389.	City \& Community	2010	6	This paper is about place making in Jerusalem, an important city at the heart of the Palestinian-Israeli conflict. It examines how place making in Jerusalem has had the consequence of shifting what is known as the Green Line. The Green Line represents the armistice or ceasefire boundaries following the end of the 1948 Arab-Israeli War. Development of different parts of captured territories after the 1967 War has shifted and rendered unstable perceptions of the Green Line and has wreaked havoc with prevailing conceptions over what constitutes Jerusalem. Symbolic and social boundary reconstruction is at the heart of the Israeli-Palestinian conflict, a powerfully organized mechanism that tilts power to Israel with the use of bulldozers, bricks, and cranes as well as tanks and weapons. The shifting Green Line represents a battle line of an idea war over Israel's ability to claim legitimacy over a new Jerusalem. This paper examines the dynamic processes of how boundaries are being shifted through narratives of various actors involved in these processes.	2	Anne B. Shlay; Gillad Rosen
Gazit, Nir. 2010. 'Boundaries in Interaction: the Cultural Fabrication of Social Boundaries in West Jerusalem.' City \& Community. 9:4 390-413.	City \& Community	2010	2	Boundary work projects are relevant in any social context, but they seem to carry particular significance in multicultural or multinational and highly contested urban settings. This study examines how daily artifacts such as local newspapers are used by various urban social groups in their local boundary work projects. The analysis is based on the particular case of West Jerusalem, and focuses on how Jewish communities use the popular local Jerusalem newspaper Kol Ha'Ir (''Whole of the City''). The study shows that local newspapers have three functions: (1) they are important components in the local cultural tool kit that various groups use and relate to; (2) they are cultural objects exploited by communities to redefine and regulate their particular identities and to sustain a common ground for local solidarity; and (3) they serve as mechanisms that construct and maintain an ethnonational front toward rival communities within their urban space. This study also suggests that in order to facilitate such a complex task of boundary work, cultural objects must be polysemous. First, they should produce to some degree a consensus among their various consumers on their content and social significance. Second, they should permit a range of interpretations regarding their particular social meaning for each group.	1	Nir Gazit
